Individual	Time	Chlorophyll	log_Chl
1	0	74.93	1.874655733
1	10	54.58	1.737033531
1	20	48.16	1.682686478
1	30	33.18	1.520876382
1	40	29.97	1.476686743
1	50	25.69	1.409764104
1	60	20.33	1.308137379
2	0	69.57	1.842422003
2	10	59.95	1.777789187
2	20	41.74	1.620552445
2	30	34.25	1.534660576
2	40	14.99	1.175801633
2	50	10.55	1.02325246
2	60	8.29	0.9185545306
3	0	79.2	1.898725182
3	10	48.16	1.682686478
3	20	37.47	1.573683693
3	30	25.69	1.409764104
3	40	16.05	1.205475037
3	50	6.45	0.8095597146
3	60	5.05	0.7032913781
4	0	88.84	1.94860855
4	10	69.57	1.842422003
4	20	65.29	1.814846669
4	30	36.53	1.562649672
4	40	27.83	1.444513206
4	50	22.48	1.351796307
4	60	12.44	1.09482038
5	0	61.02	1.785472203
5	10	34.25	1.534660576
5	20	26.76	1.427486109
5	30	21.41	1.330616667
5	40	16.05	1.205475037
5	50	17.13	1.233757363
5	60	7.65	0.8836614352
6	0	72.78	1.862012051
6	10	38.53	1.585799009
6	20	32.11	1.506640306
6	30	17.97	1.254548077
6	40	6.91	0.8394780474
6	50	7.19	0.8567288904
6	60	4.42	0.6454222693
7	0	55.56	1.744762237
7	10	38.58	1.586362223
7	20	26.37	1.42111013
7	30	23.66	1.37401474
7	40	20.35	1.308564414
7	50	10.92	1.038222638
7	60	9.63	0.9836262871
8	0	50.3	1.701567985
8	10	36.39	1.560982056
8	20	24.86	1.395501124
8	30	21.67	1.335858911
8	40	16.78	1.224791956
8	50	9.63	0.9836262871
8	60	6.46	0.810232518
9	0	81.33	1.910250772
9	10	59.95	1.777789187
9	20	31.04	1.491921713
9	30	19.26	1.284656283
9	40	17.34	1.239049093
9	50	7.06	0.8488047011
9	60	4.34	0.6374897295
10	0	53.52	1.728516105
10	10	36.39	1.560982056
10	20	17.34	1.239049093
10	30	9.7	0.9867717343
10	40	6.45	0.8095597146
10	50	4.56	0.6589648427
10	60	1.03	0.01283722471
